title,body_part,difficulty,equipment,image1,image2,body_part__Abs,body_part__Arms,body_part__Back,body_part__Butt/Hips,body_part__Chest,body_part__Full Body/Integrated,body_part__Legs - Calves and Shins,body_part__Legs - Thighs,body_part__Neck,body_part__Shoulders,equipment__BOSU Trainer,equipment__Barbell,equipment__Bench,equipment__Cones,equipment__Dumbbells,equipment__Heavy Ropes,equipment__Hurdles,equipment__Kettlebells,equipment__Ladder,equipment__Medicine Ball,equipment__No Equipment,equipment__Pull up bar,equipment__Raised Platform/Box,equipment__Resistance Bands/Cables,equipment__Stability Ball,equipment__TRX,equipment__Weight Machines / Selectorized
Glute Bridge Exercise,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],GluteBridgeExercise_30-1.jpg,GluteBridgeExercise_30-2.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Crunch,['Abs'],Beginner,['No Equipment'],Crunch_30-1.jpg,Crunch_30-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Contralateral Limb Raises,"['Back', 'Butt/Hips', 'Shoulders']",Beginner,['No Equipment'],ContralateralLimbRaises_53-1.jpg,ContralateralLimbRaises_53-2.jpg,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Front Raise,['Shoulders'],Beginner,['Dumbbells'],FrontRaise_53-1.jpg,FrontRaise_53-2.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Triceps Kickback,['Arms'],Beginner,['Dumbbells'],TricepsKickback_53-1.jpg,TricepsKickback_53-2.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Stability Ball Sit-ups / Crunches,['Abs'],Beginner,['Stability Ball'],StabilityBallSit-ups_Crunches_53-1.jpg,StabilityBallSit-ups_Crunches_53-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Stability Ball Wall Squats,"['Butt/Hips', 'Legs - Thighs']",Beginner,['Stability Ball'],StabilityBallWallSquats_53-1.jpg,StabilityBallWallSquats_53-2.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Standing Calf Raises - Wall,['Legs - Calves and Shins'],Beginner,['No Equipment'],StandingCalfRaises-Wall_53-1.jpg,StandingCalfRaises-Wall_53-2.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Half-kneeling Hay Baler,['Abs'],Beginner,['Medicine Ball'],Half-kneelingHayBaler_53-1.jpg,Half-kneelingHayBaler_53-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Side Plank - modified,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],SidePlank-modified_53-1.jpg,SidePlank-modified_53-2.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Dirty Dog,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],DirtyDog_53-1.jpg,DirtyDog_53-2.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Forward Stepping over Cones ,"['Abs', 'Butt/Hips']",Beginner,['Cones'],ForwardSteppingoverCones_53-1.jpg,ForwardSteppingoverCones_53-2.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Single Leg Stand,['Abs'],Beginner,['No Equipment'],SingleLegStand_53-1.jpg,SingleLegStand_53-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Squat Jumps,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SquatJumps_53-1.jpg,SquatJumps_53-2.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Supine Hollowing with Lower Extremity Movements,['Abs'],Beginner,['No Equipment'],SupineHollowingwithLowerExtremityMovements_121-1.jpg,SupineHollowingwithLowerExtremityMovements_121-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
