title,body_part,difficulty,equipment,image1,image2
Supine Dead Bug,['Abs'],Beginner,['No Equipment'],SupineDeadBug_121-1.jpg,SupineDeadBug_121-2.jpg
Supine 90-90 Hip Rotator Stretch,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],Supine90-90HipRotatorStretch_121-1.jpg,Supine90-90HipRotatorStretch_121-2.jpg
Side Lying Quadriceps Stretch ,['Legs - Thighs'],Beginner,['No Equipment'],SideLyingQuadricepsStretch_149-1.jpg,SideLyingQuadricepsStretch_149-2.jpg
Standing Dorsi-Flexion (Calf Stretch),['Legs - Calves and Shins'],Beginner,['No Equipment'],StandingDorsi-Flexion(CalfStretch)_149-1.jpg,StandingDorsi-Flexion(CalfStretch)_149-2.jpg
Lying Hamstrings Curl,['Butt/Hips'],Beginner,['Weight Machines / Selectorized'],LyingHamstringsCurl_149-1.jpg,LyingHamstringsCurl_149-2.jpg
Seated Leg Press Exercise,"['Butt/Hips', 'Legs - Thighs']",Beginner,['Weight Machines / Selectorized'],SeatedLegPressExercise_149-1.jpg,SeatedLegPressExercise_149-2.jpg
Seated Lat Pulldown,['Back'],Beginner,['Weight Machines / Selectorized'],SeatedLatPulldown_149-1.jpg,SeatedLatPulldown_149-2.jpg
Seated Cable Press,['Chest'],Beginner,"['Resistance Bands/Cables', 'Weight Machines / Selectorized']",SeatedCablePress_149-1.jpg,SeatedCablePress_149-2.jpg
Seated Decline Cable Press ,['Chest'],Beginner,"['Resistance Bands/Cables', 'Weight Machines / Selectorized']",SeatedDeclineCablePress_149-1.jpg,SeatedDeclineCablePress_149-2.jpg
Seated Incline Cable Press,['Chest'],Beginner,"['Resistance Bands/Cables', 'Weight Machines / Selectorized']",SeatedInclineCablePress_149-1.jpg,SeatedInclineCablePress_149-2.jpg
Seated Row ,"['Arms', 'Back']",Beginner,['Weight Machines / Selectorized'],SeatedRow_149-1.jpg,SeatedRow_149-2.jpg
Seated High Back Rows,"['Arms', 'Back']",Beginner,['Weight Machines / Selectorized'],SeatedHighBackRows_149-1.jpg,SeatedHighBackRows_149-2.jpg
Overhead Triceps Stretch,['Arms'],Beginner,['No Equipment'],OverheadTricepsStretch_149-1.jpg,OverheadTricepsStretch_149-2.jpg
Forward Linear Jumps,"['Butt/Hips', 'Full Body/Integrated', 'Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],ForwardLinearJumps_149-1.jpg,ForwardLinearJumps_149-2.jpg
Lateral Shuffles,"['Butt/Hips', 'Legs - Thighs']",Beginner,['Cones'],LateralShuffles_181-1.jpg,LateralShuffles_181-2.jpg
Seated Leg Extension ,['Legs - Thighs'],Beginner,['Weight Machines / Selectorized'],SeatedLegExtension_181-1.jpg,SeatedLegExtension_181-2.jpg
Seated Biceps Curl,['Arms'],Beginner,['Weight Machines / Selectorized'],SeatedBicepsCurl_181-1.jpg,SeatedBicepsCurl_181-2.jpg
Triceps Pushdowns ,['Arms'],Beginner,['Weight Machines / Selectorized'],TricepsPushdowns_181-1.jpg,TricepsPushdowns_181-2.jpg
Seated Shoulder Press ,"['Arms', 'Shoulders']",Beginner,['Weight Machines / Selectorized'],SeatedShoulderPress_181-1.jpg,SeatedShoulderPress_181-2.jpg
Seated Machine Close-Grip Shoulder Press,"['Arms', 'Shoulders']",Beginner,['Weight Machines / Selectorized'],SeatedMachineClose-GripShoulderPress_181-1.jpg,SeatedMachineClose-GripShoulderPress_181-2.jpg
Seated Chest Press  ,['Chest'],Beginner,['Weight Machines / Selectorized'],SeatedChestPress_181-1.jpg,SeatedChestPress_181-2.jpg
Seated Close-Grip Chest Press,"['Arms', 'Chest']",Beginner,['Weight Machines / Selectorized'],SeatedClose-GripChestPress_181-1.jpg,SeatedClose-GripChestPress_181-2.jpg
Thomas Stretch,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],ThomasStretch_181-1.jpg,ThomasStretch_181-2.jpg
Kneeling TA Stretch,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],KneelingTAStretch_181-1.jpg,KneelingTAStretch_181-2.jpg
90 Lat Stretch,['Back'],Beginner,['No Equipment'],90LatStretch_181-1.jpg,90LatStretch_181-2.jpg
Standing Shoulder Extension,['Arms'],Beginner,['No Equipment'],StandingShoulderExtension_181-1.jpg,StandingShoulderExtension_181-2.jpg
Lateral Neck Flexion,['Neck'],Beginner,['No Equipment'],LateralNeckFlexion_202-1.jpg,LateralNeckFlexion_202-2.jpg
Neck Flexion and Extension,['Neck'],Beginner,['No Equipment'],NeckFlexionandExtension_202-1.jpg,NeckFlexionandExtension_202-2.jpg
Shoulder Packing,"['Back', 'Shoulders']",Beginner,['No Equipment'],ShoulderPacking_202-1.jpg,ShoulderPacking_202-2.jpg
Seated Bent-Knee Biceps Stretch,['Arms'],Beginner,['No Equipment'],SeatedBent-KneeBicepsStretch_202-1.jpg,SeatedBent-KneeBicepsStretch_202-2.jpg
Standing Chest Stretch,['Chest'],Beginner,['No Equipment'],StandingChestStretch_202-1.jpg,StandingChestStretch_202-2.jpg
Seated Straddle Stretch ,"['Back', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedStraddleStretch_202-1.jpg,SeatedStraddleStretch_202-2.jpg
Seated Side-Straddle Stretch ,"['Abs', 'Back', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedSide-StraddleStretch_202-1.jpg,SeatedSide-StraddleStretch_202-2.jpg
Seated Toe Touches ,"['Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedToeTouches_202-1.jpg,SeatedToeTouches_202-2.jpg
Seated Calf Stretch,['Legs - Calves and Shins'],Beginner,['No Equipment'],SeatedCalfStretch_202-1.jpg,SeatedCalfStretch_202-2.jpg
Seated Butterfly Stretch ,['Legs - Thighs'],Beginner,['No Equipment'],SeatedButterflyStretch_202-1.jpg,SeatedButterflyStretch_202-2.jpg
Forward Hurdle Run,"['Butt/Hips', 'Legs - Calves and Shins']",Beginner,['Hurdles'],ForwardHurdleRun_202-1.jpg,ForwardHurdleRun_202-2.jpg
Squat Jump,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SquatJump_202-1.jpg,SquatJump_202-2.jpg
Childs Pose,"['Abs', 'Back', 'Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],ChildsPose_227-1.jpg,ChildsPose_227-2.jpg
Warrior I,"['Butt/Hips', 'Full Body/Integrated', 'Legs - Thighs']",Beginner,['No Equipment'],WarriorI_227-1.jpg,WarriorI_227-2.jpg
Single Leg Push-off,"['Butt/Hips', 'Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['Raised Platform/Box'],SingleLegPush-off_227-1.jpg,SingleLegPush-off_227-2.jpg
Leg Crossover Stretch ,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],LegCrossoverStretch_227-1.jpg,LegCrossoverStretch_227-2.jpg
Supine Hamstrings Stretch,"['Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],SupineHamstringsStretch_227-1.jpg,SupineHamstringsStretch_227-2.jpg
Supine Reverse Marches,['Abs'],Beginner,['No Equipment'],SupineReverseMarches_227-1.jpg,SupineReverseMarches_227-2.jpg
Upward Facing Dog,"['Abs', 'Back']",Beginner,['No Equipment'],UpwardFacingDog_227-1.jpg,UpwardFacingDog_227-2.jpg
V Sit Partner Rotations,['Abs'],Beginner,['Medicine Ball'],VSitPartnerRotations_227-1.jpg,VSitPartnerRotations_227-2.jpg
Partner Assisted Bodyweight Squats,"['Abs', 'Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],PartnerAssistedBodyweightSquats_227-1.jpg,PartnerAssistedBodyweightSquats_227-2.jpg
Partner Tricep Extension,"['Abs', 'Arms', 'Butt/Hips']",Beginner,['Resistance Bands/Cables'],PartnerTricepExtension_227-1.jpg,PartnerTricepExtension_227-2.jpg
Quadruped Bent-knee Hip Extensions,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],QuadrupedBent-kneeHipExtensions_227-1.jpg,QuadrupedBent-kneeHipExtensions_227-2.jpg
Modified Hurdler's Stretch,['Legs - Thighs'],Beginner,['No Equipment'],ModifiedHurdler_sStretch_227-1.jpg,ModifiedHurdler_sStretch_227-2.jpg
Walking Abduction,['Butt/Hips'],Beginner,['Resistance Bands/Cables'],WalkingAbduction_290-1.jpg,WalkingAbduction_290-2.jpg
Seated Crunch,['Abs'],Beginner,['Weight Machines / Selectorized'],SeatedCrunch_290-1.jpg,SeatedCrunch_290-2.jpg
Tricep Extension,['Arms'],Beginner,['Weight Machines / Selectorized'],TricepExtension_290-1.jpg,TricepExtension_290-2.jpg
Glute Press,['Butt/Hips'],Beginner,['Weight Machines / Selectorized'],GlutePress_290-1.jpg,GlutePress_290-2.jpg
Calf Raise,['Legs - Calves and Shins'],Beginner,['Weight Machines / Selectorized'],CalfRaise_290-1.jpg,CalfRaise_290-2.jpg
Lateral Shoulder Raise,['Shoulders'],Beginner,['Weight Machines / Selectorized'],LateralShoulderRaise_290-1.jpg,LateralShoulderRaise_290-2.jpg
Kneeling ABC's,['Abs'],Beginner,['Stability Ball'],KneelingABC_s_290-1.jpg,KneelingABC_s_290-2.jpg
Decline Plank,['Abs'],Beginner,['BOSU Trainer'],DeclinePlank_290-1.jpg,DeclinePlank_290-2.jpg
Standing Bicep Curl,['Arms'],Beginner,['Resistance Bands/Cables'],StandingBicepCurl_290-1.jpg,StandingBicepCurl_290-2.jpg
Standing Crunch,['Abs'],Beginner,['Resistance Bands/Cables'],StandingCrunch_290-1.jpg,StandingCrunch_290-2.jpg
Tricep Pressdown Exercise,['Arms'],Beginner,['Resistance Bands/Cables'],TricepPressdownExercise_290-1.jpg,TricepPressdownExercise_290-2.jpg
Anti-rotation Reverse Lunge,['Full Body/Integrated'],Beginner,['Resistance Bands/Cables'],Anti-rotationReverseLunge_290-1.jpg,Anti-rotationReverseLunge_290-2.jpg
Rotator Cuff Internal Rotation,['Shoulders'],Beginner,['Resistance Bands/Cables'],RotatorCuffInternalRotation_351-1.jpg,RotatorCuffInternalRotation_351-2.jpg
Rotator Cuff External Rotation,['Shoulders'],Beginner,['Resistance Bands/Cables'],RotatorCuffExternalRotation_351-1.jpg,RotatorCuffExternalRotation_351-2.jpg
Single-arm Lateral Raise,['Shoulders'],Beginner,['Resistance Bands/Cables'],Single-armLateralRaise_351-1.jpg,Single-armLateralRaise_351-2.jpg
V-raise,['Shoulders'],Beginner,['Dumbbells'],V-raise_351-1.jpg,V-raise_351-2.jpg
Forward Lunge,"['Butt/Hips', 'Legs - Thighs']",Intermediate,['Barbell'],ForwardLunge_8-1.jpg,ForwardLunge_8-2.jpg
Hammer Curl,['Arms'],Intermediate,['Dumbbells'],HammerCurl_8-1.jpg,HammerCurl_8-2.jpg
Bird-dog,"['Abs', 'Back', 'Butt/Hips']",Intermediate,['No Equipment'],Bird-dog_8-1.jpg,Bird-dog_8-2.jpg
Downward-facing Dog,"['Arms', 'Back', 'Butt/Hips', 'Full Body/Integrated', 'Legs - Calves and Shins', 'Legs - Thighs']",Intermediate,['No Equipment'],Downward-facingDog_8-1.jpg,Downward-facingDog_8-2.jpg
Chest Press,"['Arms', 'Chest', 'Shoulders']",Intermediate,"['Bench', 'Dumbbells']",ChestPress_8-1.jpg,ChestPress_8-2.jpg
Lying Chest Fly,"['Chest', 'Shoulders']",Intermediate,"['Bench', 'Dumbbells']",LyingChestFly_8-1.jpg,LyingChestFly_8-2.jpg
Front Squat,"['Back', 'Butt/Hips', 'Full Body/Integrated', 'Legs - Thighs']",Intermediate,['Dumbbells'],FrontSquat_8-1.jpg,FrontSquat_8-2.jpg
Front Plank,"['Abs', 'Back']",Intermediate,['No Equipment'],FrontPlank_8-1.jpg,FrontPlank_8-2.jpg
Kneeling Lat Pulldown,['Back'],Intermediate,['Resistance Bands/Cables'],KneelingLatPulldown_8-1.jpg,KneelingLatPulldown_8-2.jpg
Lying Barbell Triceps Extensions ,['Arms'],Intermediate,"['Barbell', 'Bench']",LyingBarbellTricepsExtensions_8-1.jpg,LyingBarbellTricepsExtensions_8-2.jpg
Lying Pullovers,['Chest'],Intermediate,"['Bench', 'Dumbbells']",LyingPullovers_8-1.jpg,LyingPullovers_8-2.jpg
Push-up,"['Arms', 'Chest', 'Shoulders']",Intermediate,['No Equipment'],Push-up_8-1.jpg,Push-up_8-2.jpg
Seated Shoulder Press,"['Arms', 'Shoulders']",Intermediate,"['Barbell', 'Bench']",SeatedShoulderPress_43-1.jpg,SeatedShoulderPress_43-2.jpg
Seated Overhead Press,"['Arms', 'Shoulders']",Intermediate,"['Bench', 'Dumbbells']",SeatedOverheadPress_43-1.jpg,SeatedOverheadPress_43-2.jpg
Side Lunge,"['Butt/Hips', 'Legs - Thighs']",Intermediate,['No Equipment'],SideLunge_43-1.jpg,SideLunge_43-2.jpg
Calf Raises,['Legs - Calves and Shins'],Intermediate,['Barbell'],CalfRaises_43-1.jpg,CalfRaises_43-2.jpg
Stability Ball Hamstring Curl,"['Butt/Hips', 'Legs - Thighs']",Intermediate,['Stability Ball'],StabilityBallHamstringCurl_43-1.jpg,StabilityBallHamstringCurl_43-2.jpg
Stability Ball Prone Walkout,"['Abs', 'Back']",Intermediate,['Stability Ball'],StabilityBallProneWalkout_43-1.jpg,StabilityBallProneWalkout_43-2.jpg
Stability Ball Push-Up,"['Chest', 'Shoulders']",Intermediate,['Stability Ball'],StabilityBallPush-Up_43-1.jpg,StabilityBallPush-Up_43-2.jpg
Glute Bridge ,"['Abs', 'Butt/Hips', 'Legs - Thighs']",Intermediate,['Stability Ball'],GluteBridge_43-1.jpg,GluteBridge_43-2.jpg
Stability Ball Shoulder Stabilization,"['Back', 'Shoulders']",Intermediate,['Stability Ball'],StabilityBallShoulderStabilization_43-1.jpg,StabilityBallShoulderStabilization_43-2.jpg
Bicep Curl,['Arms'],Intermediate,['Barbell'],BicepCurl_43-1.jpg,BicepCurl_43-2.jpg
Shrug,['Back'],Intermediate,['Barbell'],Shrug_43-1.jpg,Shrug_43-2.jpg
Triceps Extension,['Arms'],Intermediate,['Dumbbells'],TricepsExtension_43-1.jpg,TricepsExtension_43-2.jpg
